timestamp: 20231031225128
trade_count: 112187
total_profit: 2655524.0
size of result_df: 15464
ratio: 0.13784128285808517
average days_held: 10.560653195111733
average profit: 23.670514408977866
Source code for 'gen_signal_func':
def gen_daily_buy_signal_five(data):
    """
    前辈指标

    :param data:
    :return:
    """
    # 效果：
    # 任然无法避免买入后继续跌，概率增加，持有天数减少

    # 还需继续优化
    K,D,J = KDJ(data['收盘'],data['最高'],data['最低'])
    data['J'] = J
    data['买'] = data['J'].apply(lambda x: 10 if x < 0 else 0)
    # data['Buy_Signal'] = (9.9 < data['买'].shift(1)) & (9.9 > data['买']) & (data['日期'] > '2013-01-01')
    # data['Buy_Signal'] = (9.9 < data['买'].shift(2)) & (9.9 > data['买'].shift(1)) & (data['涨跌幅'] < 0) & (data['日期'] > '2013-01-01')
    # 再往前判断前两天是否有穿越，并且连续两天是否都下跌
    data['Buy_Signal'] = (9.9 < data['买'].shift(3)) & (9.9 > data['买'].shift(2)) & (data['涨跌幅'] < 0) & (data['日期'] > '2013-01-01')
    return data




           名称      代码   Buy Date  Buy Price  Sell Date  Sell Price  Profit  Total_Profit  Growth Rate (%)  Days Held  Buy_Index
9747     汇嘉时代  603101 2016-11-23      15.16 2023-10-20        6.19  -897.0 -8.420000e+02       -59.168865       1678        134
12351    罗平锌电  002114 2016-11-29      27.72 2023-10-20        6.51 -2121.0 -1.417000e+03       -76.515152       1674       2173
15287    鹭燕医药  002788 2016-11-22      25.65 2023-10-20        9.46 -1619.0 -1.448000e+03       -63.118908       1673        187
4699     华谊集团  600623 2016-12-02      15.72 2023-10-20        6.22  -950.0 -4.020000e+02       -60.432570       1671       5670
13447    软控股份  002073 2016-11-23      12.08 2023-10-20        6.70  -538.0 -2.860000e+02       -44.536424       1668       2404
7295     崇达技术  002815 2016-12-08      25.29 2023-10-20        9.93 -1536.0 -1.472000e+03       -60.735469       1667         41
5530     四方科技  603339 2016-12-08      27.30 2023-10-20       11.19 -1611.0 -1.490000e+03       -59.010989       1666        136
2765      乔治白  002687 2016-12-09       8.25 2023-10-20        4.85  -340.0 -1.800000e+02       -41.212121       1666       1067
3817     准油股份  002207 2016-11-24      23.56 2023-10-20        8.12 -1544.0 -1.379000e+03       -65.534805       1665       1788
11432    电光科技  002730 2016-12-14      22.80 2023-10-20        8.51 -1429.0 -1.189000e+03       -62.675439       1663        403
6595     威帝股份  603023 2016-11-23      11.99 2023-10-20        4.84  -715.0 -5.170000e+02       -59.633028       1656        365
3020     亚联发展  002316 2016-01-04      18.24 2023-10-20        6.27 -1197.0 -1.130000e+03       -65.625000       1653       1263
11738     真视通  002771 2016-12-09      30.38 2023-10-20       24.48  -590.0  1.970000e+02       -19.420671       1651        322
5633     国旅联合  600358 2016-01-04      15.30 2023-10-20        4.49 -1081.0 -9.020000e+02       -70.653595       1648       3562
12546    聚力文化  002247 2017-01-05      17.99 2023-10-20        2.02 -1597.0 -1.229000e+03       -88.771540       1646       1961
